date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:15:13	13030/13030	---M--	200	added ('OK')	application/x-javascript	etag:%2232e6-611e7e972db00%22	https://yashadmin.dexignzone.com/tailwind/demo/assets/js/plugins-init/flot-init.js	C:/My%20Web%20Sites/select2/yashadmin.dexignzone.com/tailwind/demo/assets/js/plugins-init/flot-init.js	(from https://yashadmin.dexignzone.com/tailwind/demo/chart-flot.html)
13:15:14	93168/93168	---M--	200	added ('OK')	application/x-javascript	etag:%2216bf0-58de913a48a00%22	https://yashadmin.dexignzone.com/tailwind/demo/assets/vendor/raphael/raphael.min.js	C:/My%20Web%20Sites/select2/yashadmin.dexignzone.com/tailwind/demo/assets/vendor/raphael/raphael.min.js	(from https://yashadmin.dexignzone.com/tailwind/demo/chart-morris.html)
13:15:14	35658/35658	---M--	200	added ('OK')	application/x-javascript	etag:%228b4a-58de913a48a00%22	https://yashadmin.dexignzone.com/tailwind/demo/assets/vendor/morris/morris.min.js	C:/My%20Web%20Sites/select2/yashadmin.dexignzone.com/tailwind/demo/assets/vendor/morris/morris.min.js	(from https://yashadmin.dexignzone.com/tailwind/demo/chart-morris.html)
13:15:15	8269/8269	---M--	200	added ('OK')	application/x-javascript	etag:%22204d-5f69bb1266300%22	https://yashadmin.dexignzone.com/tailwind/demo/assets/js/plugins-init/morris-init.js	C:/My%20Web%20Sites/select2/yashadmin.dexignzone.com/tailwind/demo/assets/js/plugins-init/morris-init.js	(from https://yashadmin.dexignzone.com/tailwind/demo/chart-morris.html)
13:15:15	33692/33692	---M--	200	added ('OK')	application/x-javascript	etag:%22839c-61064d7596d00%22	https://yashadmin.dexignzone.com/tailwind/demo/assets/js/plugins-init/chartjs-init.js	C:/My%20Web%20Sites/select2/yashadmin.dexignzone.com/tailwind/demo/assets/js/plugins-init/chartjs-init.js	(from https://yashadmin.dexignzone.com/tailwind/demo/chart-chartjs.html)
13:15:16	11508/11508	---M--	200	added ('OK')	text/css	etag:%222cf4-58dde99508380%22	https://yashadmin.dexignzone.com/tailwind/demo/assets/vendor/chartist/css/chartist.min.css	C:/My%20Web%20Sites/select2/yashadmin.dexignzone.com/tailwind/demo/assets/vendor/chartist/css/chartist.min.css	(from https://yashadmin.dexignzone.com/tailwind/demo/chart-chartist.html)
13:15:16	40183/40183	---M--	200	added ('OK')	application/x-javascript	etag:%229cf7-5df84f1258b80%22	https://yashadmin.dexignzone.com/tailwind/demo/assets/vendor/chartist/js/chartist.min.js	C:/My%20Web%20Sites/select2/yashadmin.dexignzone.com/tailwind/demo/assets/vendor/chartist/js/chartist.min.js	(from https://yashadmin.dexignzone.com/tailwind/demo/chart-chartist.html)
13:15:17	2984/2984	---M--	200	added ('OK')	application/x-javascript	etag:%22ba8-5df8f6c30ad00%22	https://yashadmin.dexignzone.com/tailwind/demo/assets/vendor/chartist-plugin-tooltips/js/chartist-plugin-tooltip.min.js	C:/My%20Web%20Sites/select2/yashadmin.dexignzone.com/tailwind/demo/assets/vendor/chartist-plugin-tooltips/js/chartist-plugin-tooltip.min.js	(from https://yashadmin.dexignzone.com/tailwind/demo/chart-chartist.html)
13:15:17	23330/23330	---M--	200	added ('OK')	application/x-javascript	etag:%225b22-6104214f8ce80%22	https://yashadmin.dexignzone.com/tailwind/demo/assets/js/plugins-init/chartist-init.js	C:/My%20Web%20Sites/select2/yashadmin.dexignzone.com/tailwind/demo/assets/js/plugins-init/chartist-init.js	(from https://yashadmin.dexignzone.com/tailwind/demo/chart-chartist.html)
13:15:18	62675/62675	---M--	200	added ('OK')	application/x-javascript	etag:%22f4d3-58dde996f0800%22	https://yashadmin.dexignzone.com/tailwind/demo/assets/vendor/jquery-sparkline/jquery.sparkline.min.js	C:/My%20Web%20Sites/select2/yashadmin.dexignzone.com/tailwind/demo/assets/vendor/jquery-sparkline/jquery.sparkline.min.js	(from https://yashadmin.dexignzone.com/tailwind/demo/chart-sparkline.html)
